frame,raw_x,raw_y,raw_a,smooth_x,smooth_y,smooth_a
147,-453.183,-32.3047,-0.00608631,-508.582,-33.5795,-0.013406
148,-478.074,-91.9301,-0.000361277,-514.79,-36.9411,-0.0104354
149,-503.366,-139.156,0.00917318,-521.203,-40.1739,-0.00736482
150,-520.46,-183.329,0.0268283,-527.787,-43.1989,-0.00424577
151,-540.66,-216.043,0.0412138,-534.493,-45.9531,-0.00112207
152,-547.694,-215.408,0.0418432,-541.274,-48.3994,0.00196706
153,-557.919,-191.678,0.0369929,-548.083,-50.5142,0.00498502
154,-572.287,-150.777,0.0383436,-554.856,-52.2736,0.00790829
155,-574.76,-103.762,0.041973,-561.539,-53.6753,0.0107194
156,-574.758,-54.094,0.044884,-568.071,-54.746,0.0134094
157,-586.721,-14.9628,0.0408134,-574.396,-55.5188,0.0159686
158,-598.833,-0.951618,0.0288903,-580.462,-56.0434,0.0183943
159,-609.803,11.1948,0.0149931,-586.229,-56.3682,0.0206795
160,-636.023,5.21709,0.00342837,-591.657,-56.561,0.0228221
161,-654.195,-12.0404,-0.0050727,-596.718,-56.7057,0.0248183
162,-659.722,-17.0618,-0.00923357,-601.389,-56.8586,0.0266615
163,-658.095,-18.3024,-0.00903219,-605.633,-57.0716,0.0283481
164,-651.067,-28.0562,0.00164056,-609.447,-57.384,0.0298787
165,-643.427,-40.9631,0.0164799,-612.821,-57.8427,0.0312489
166,-627.412,-27.0809,0.037856,-615.739,-58.4636,0.032457
167,-618.838,-2.72746,0.0573725,-618.199,-59.2686,0.0335011
168,-611.205,-12.5082,0.0731526,-620.193,-60.2457,0.0343742
169,-615.256,-28.1794,0.0839553,-621.719,-61.3987,0.0350779
170,-634.98,-76.2643,0.0814113,-622.809,-62.727,0.0356048
171,-651.191,-108.09,0.0685757,-623.482,-64.2424,0.0359562
172,-656.521,-124.629,0.0513939,-623.764,-65.9473,0.0361278
173,-658.564,-117.604,0.0448738,-623.684,-67.8378,0.0361169
174,-659.552,-112.49,0.0397624,-623.274,-69.9082,0.0359225
175,-656.229,-111.558,0.0419237,-622.564,-72.1526,0.0355511
176,-651.318,-101.082,0.050071,-621.575,-74.5579,0.0350199
177,-621.747,-63.9995,0.0625463,-620.339,-77.1165,0.0343478
178,-615.58,-52.7786,0.0659827,-618.878,-79.8106,0.0335552
179,-619.683,-41.9492,0.0610377,-617.21,-82.6336,0.0326996
180,-628.903,-23.9072,0.0414532,-615.385,-85.5674,0.0317654
181,-620.289,-17.5921,0.0170549,-613.442,-88.5932,0.0307664
182,-615.978,-46.1418,-0.00121062,-611.416,-91.6884,0.0297196
183,-613.884,-70.2087,-0.0175307,-609.345,-94.8314,0.0286423
184,-607.818,-73.5521,-0.0234657,-607.262,-97.9883,0.0275452
185,-604.084,-75.7962,-0.0194044,-605.195,-101.118,0.0264315
186,-596.818,-87.101,-0.00322172,-603.18,-104.169,0.0253036
187,-579.079,-88.2901,0.0130484,-601.242,-107.092,0.0241619
188,-564.781,-91.0349,0.0289235,-599.401,-109.828,0.023006
189,-557.605,-104.922,0.0465468,-597.679,-112.32,0.0218333
190,-560.585,-122.257,0.0585719,-596.096,-114.523,0.020637
191,-575.625,-176.185,0.057687,-594.659,-116.392,0.0194082
192,-604.049,-218.89,0.0405111,-593.386,-117.894,0.0181379
193,-590.024,-229.348,0.0246917,-592.29,-119.01,0.0168178
194,-611.081,-229.028,0.0192621,-591.376,-119.726,0.0154408
195,-610.211,-229.106,0.015784,-590.648,-120.035,0.0139994
196,-605.298,-233.781,0.0196446,-590.105,-119.938,0.0124907
197,-598.108,-235.192,0.0277908,-589.746,-119.457,0.0109128
198,-570.684,-174.882,0.0207295,-589.562,-118.615,0.00926879
199,-520.877,-110.394,0.0249425,-589.547,-117.423,0.0075638
200,-519.835,-71.9273,0.0207062,-589.687,-115.909,0.00580446
201,-529.824,-54.2883,0.0185348,-589.969,-114.096,0.0040018
202,-546.433,-48.2959,0.0101256,-590.386,-112.032,0.00216586
203,-575.442,-41.2515,-0.00612568,-590.933,-109.763,0.00030451
204,-609.869,-47.857,-0.0279816,-591.601,-107.337,-0.00158085
205,-630.009,-42.4406,-0.0543507,-592.381,-104.79,-0.00348308
206,-648.297,-38.8828,-0.0692525,-593.264,-102.153,-0.00539819
207,-660.083,-42.9943,-0.0698184,-594.238,-99.4624,-0.00732158
208,-660.643,-50.5698,-0.062278,-595.31,-96.7654,-0.00924825
