frame,dx,dy,angle
459, 5.206496, -50.205320, 0.021823
460, -41.349947, -43.670954, 0.015440
461, -13.255437, -7.288336, 0.010341
462, -28.220946, 12.055364, 0.000294
463, -24.370620, 38.507534, -0.008555
464, -5.939289, 45.340397, -0.009300
465, 3.117088, 34.584407, -0.006094
466, -2.738937, 26.621546, -0.006261
467, -0.616568, 13.868623, -0.002467
468, -1.752608, 4.887054, -0.001380
469, -1.626778, 5.219876, -0.002418
470, -0.592244, 0.773835, 0.000680
471, 0.402587, 0.214620, 0.001806
472, -1.357797, 2.748672, -0.000116
473, -2.694428, 4.959451, -0.002869
474, -4.253964, 4.619734, -0.003902
475, -2.539453, 2.588227, -0.001646
476, 0.786635, -0.444179, 0.002451
477, -1.005703, 3.105760, -0.001594
478, -0.816525, 3.097932, -0.002759
479, -1.243832, 0.998278, -0.003137
480, 2.920686, 0.601335, -0.001012
481, 2.592284, -2.932673, 0.000159
482, 1.854623, -1.035664, -0.000628
483, 2.976770, -3.122494, 0.001636
484, 5.532611, -10.412121, 0.007271
485, 7.833396, -6.369755, 0.008504
