yıl,tez no,yazar,üni,enstitü,abd,bd,doktora/yl,dil,amaç,fpga donanımı,platform,tasarım dili,yöntem,akademik katkı türü
2024,847619,HAKAN GÜRBÜZ,Marmara Üniversitesi ,fbe,Elektrik-Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,tr,,,,,,
2024,859315,ALİ FURKAN FINDIK,Fırat Üniversitesi,fbe,Mekatronik Mühendisliği,Mekatronik Mühendisliği,yl,tr,,,,,,
2024,864665,MUSTAFA YETİŞ,Ankara Yıldırım Beyazıt Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,ing,,,,,,
2024,866587,İSMAİL PALIT,Hacettepe Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,,yl,tr,,,,,,
2024,872226,EMİNE ELİF YİĞİT,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Savunma Teknolojileri,Savunma Teknolojileri,yl,ing,,,,,,
2024,878606,ENES ÖZDEMİR,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik Mühendisliği,Elektrik Mühendisliği,yl,tr,,,,,,
2024,879587,İDRİS CELİL SİNCANLI,İstanbul Üniversitesi-Cerrahpaşa,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2024,880416,SEMİH CAN DEĞİRMEN,Sivas Cumhuriyet Üniversitesi,fbe,Savunma Sanayi Teknoloji ve Stratejileri,,yl,tr,,,,,,
2024,886009,KAMER KIRALİ,Karabük Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Mekatronik Mühendisliği,,yl,tr,,,,,,
2024,886630,DOĞAN ALP ÇINARCIK,Yıldız Teknik Üniversitesi,fbe,Elektronik ve Haberleşme Mühendisliği,Elektronik,yl,tr,,,,,,
2024,888887,ENVER ÖZKAN, Gazi Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2024,896008,MUHAMMET BAHADIR TÜRKOĞLU,Kocaeli Üniversitesi,fbe,Bilgisayar Mühendisliği,,yl,tr,,,,,,
2024,894862,UĞUR BERK ÇELİK,Sabancı Üniversitesi,fbe,Elektronik Mühendisliği,Elektronik Mühendisliği,yl,tr,,,,,,
2024,892628,ASLIHAN HACER TÜFEKCİOĞLU,Marmara Üniversitesi,fbe,Elektronik Mühendisliği,,yl,ing,,,,,,
2024,900016,YUNUS EMRE YILMAZ,Orta Doğu Teknik Üniversitesi,Uygulamalı Matematik Enstitüsü,Kriptografi,,yl,ing,,,,,,
2024,901599,İZEMNUR BUDAK,Marmara Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,tr,,,,,,
2024,902327,EFE BERKAY YİTİM,Orta Doğu Teknik Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2024,904968,MUSTAFA EMRE ÖNCÜLER,TOBB Ekonomi ve Teknoloji Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2024,877519,ABDULKADİR SADAY,Selçuk Üniversitesi,fbe,Mekatronik Mühendisliği,,dr,tr,,,,,,
2024,929707,EMRE KOÇER,Sabancı Üniversitesi,fbe,Bilgisayar Bilimleri ve Mühendisliği,,yl,ing,,,,,,
2024,920245,KENAN CANKO,Mersin Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği ,,yl,tr,,,,,,
2024,920221,SÜLEYMAN SAMET YALÇIN,Orta Doğu Teknik Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2024,919079,MERT YAŞAR AYDIN,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği,yl,ing,,,,,,
2024,916024,BATUHAN AKKUŞ, İzmir Yüksek Teknoloji Enstitüsü,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,,yl,ing,,,,,,
2025,941297,ŞULE NUR AKÇA,Gazi Üniversitesi,fbe, Elektrik-Elektronik Mühendisliği ,,yl,tr,,,,,,
2025,916289,CELİLŞAMİL İLHAN,İstanbul Teknik Üniversitesi ,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği,yl,ing,,,,,,
2025,922402,BİLGE DENİZ MADEN,Yaşar Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2025,913329,POLATCAN POLAT,Çukurova Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2025,935981,GÖZDE ÖZDİL,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği,yl,ing,,,,,,
2025,936465,BUĞRA DAĞCI,Afyon Kocatepe Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2025,937004,YUNUS EMRE ERYILMAZ,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektronik ve Haberleşme Mühendisliği,Elektronik Mühendisliği,yl,ing,,,,,,
